Economy,ADB Country Code,Sector,Country 2018 GDP,Scenario,as % of total GDP,dollar ,Employment (in 000),as % of sector GDP,as % of sector employment,,
Australia,AUS,"Agriculture, Mining and Quarrying",1433904.349,"Shorter containment, smaller demand shock",-0.33,4671.70,18.00,-2.70,-2.65,,
Australia,AUS,"Business, Trade, Personal, and Public Services",1433904.349,"Shorter containment, smaller demand shock",-1.41,20147.01,191.00,-2.31,-2.29,,
Australia,AUS,Hotel and restaurants and Other Personal Services,1433904.349,"Shorter containment, smaller demand shock",-0.35,5023.10,112.00,-6.70,-7.24,,
Australia,AUS,"Light/Heavy Manufacturing, Utilities, and Construction",1433904.349,"Shorter containment, smaller demand shock",-0.39,5660.89,54.00,-2.31,-2.29,,
Australia,AUS,Transport services,1433904.349,"Shorter containment, smaller demand shock",-0.30,4307.48,47.00,-6.47,-7.22,,
Australia,AUS,_All,1433904.349,"Shorter containment, smaller demand shock",-2.78,39810.18,422.00,-2.78,-3.11,,
Austria,AUT,"Agriculture, Mining and Quarrying",455285.818,"Shorter containment, smaller demand shock",-0.03,147.80,6.00,-2.10,-1.99,,
Austria,AUT,"Business, Trade, Personal, and Public Services",455285.818,"Shorter containment, smaller demand shock",-1.12,5112.21,55.00,-2.05,-2.01,,
Austria,AUT,Hotel and restaurants and Other Personal Services,455285.818,"Shorter containment, smaller demand shock",-0.56,2547.44,33.00,-5.06,-5.08,,
Austria,AUT,"Light/Heavy Manufacturing, Utilities, and Construction",455285.818,"Shorter containment, smaller demand shock",-0.51,2306.08,22.00,-1.83,-1.82,,
Austria,AUT,Transport services,455285.818,"Shorter containment, smaller demand shock",-0.40,1827.21,21.00,-7.93,-8.50,,
Austria,AUT,_All,455285.818,"Shorter containment, smaller demand shock",-2.62,11940.76,138.00,-2.62,-2.67,,
Belgium,BEL,"Agriculture, Mining and Quarrying",542761.0921,"Shorter containment, smaller demand shock",-0.02,82.40,1.00,-1.96,-1.98,,
Belgium,BEL,"Business, Trade, Personal, and Public Services",542761.0921,"Shorter containment, smaller demand shock",-1.34,7287.43,73.00,-2.05,-2.04,,
Belgium,BEL,Hotel and restaurants and Other Personal Services,542761.0921,"Shorter containment, smaller demand shock",-0.21,1130.04,14.00,-3.26,-3.13,,
Belgium,BEL,"Light/Heavy Manufacturing, Utilities, and Construction",542761.0921,"Shorter containment, smaller demand shock",-0.45,2468.52,18.00,-2.02,-2.01,,
Belgium,BEL,Transport services,542761.0921,"Shorter containment, smaller demand shock",-0.18,958.84,9.00,-3.70,-3.90,,
Belgium,BEL,_All,542761.0921,"Shorter containment, smaller demand shock",-2.20,11927.24,115.00,-2.20,-2.21,,
